Area in Sqrt,No.of Bhk,Location,Price
4874,4,Sector 108, 4.14 Cr
3302,3,Sector 108, 2.8 Cr
3312,3,Sector 108, 2.81 Cr
3996,4,Sector 108, 3.39 Cr
3525,4,Sector 78, 4.23 Cr
3525,4,Sector 78, 4.23 Cr
3525,4,Sector 78, 4.23 Cr
3525,4,Sector 78, 4.23 Cr
3070,3,Sector 78, 3.68 Cr
3070,3,Sector 78, 3.68 Cr
3020,3,Sector 78, 3.62 Cr
3020,3,Sector 78, 3.62 Cr
3475,3,Sector 78, 4.17 Cr
3475,3,Sector 78, 4.17 Cr
2500,3,Sector 78, 3 Cr
2500,3,Sector 78, 3 Cr
3775,5,Sector 78, 4.53 Cr
3775,5,Sector 78, 4.53 Cr
3370,4,Sector 78, 4.04 Cr
3370,4,Sector 78, 4.04 Cr
3430,4,Sector 78, 4.11 Cr
3430,4,Sector 78, 4.11 Cr
4425,4,Sector 78, 5.31 Cr
4425,4,Sector 78, 5.31 Cr
900,2,Sector 73, 25.49 L
2050,4,Sector 150, 1.97 Cr
2050,4,Sector 150, 1.97 Cr
1430,3,Sector 150, 1.5 Cr
1430,3,Sector 150, 1.5 Cr
1270,3,Sector 79, 79 L
1560,3,Sector 137, 85 L
2720,4,Sector 79, 1.8 Cr
1730,3,Sector 79, 1.1 Cr
1880,3,Sector 79, 1.26 Cr
1380,2,Sector 79, 82 L
1400,2,Sector 79, 85 L
1690,3,Sector 79, 1.05 Cr
2575,4,Sector 79, 1.65 Cr
1675,3,Sector 150, 82.91 L
1615,3,Sector 150, 79.94 L
1400,3,Sector 150, 69.3 L
4150,4,Sector 94, 5.6 Cr
1650,2,Sector 94, 2.22 Cr
3840,4,Sector 94, 5.18 Cr
2040,3,Sector 94, 2.75 Cr
1776,2,Sector 94, 2.39 Cr
1380,2,Sector 94, 1.86 Cr
800,1,Sector 94, 1.08 Cr
595,1,Sector 94, 80.32 L
1475,2,Sector 94, 1.99 Cr
1220,2,Sector 94, 1.64 Cr
3770,4,Sector 94, 5.08 Cr
10485,4,Sector 94, 14.15 Cr
645,1,Sector 94, 87.07 L
5410,3,Sector 94, 7.3 Cr
4060,3,Sector 94, 5.48 Cr
3000,3,Sector 94, 4.05 Cr
1320,2,Sector 94, 1.78 Cr
6550,4,Sector 94, 8.84 Cr
4955,4,Sector 94, 6.68 Cr
1825,2,Sector 94, 2.46 Cr
2880,3,Sector 94, 3.88 Cr
4850,3,Sector 94, 6.54 Cr
560,1,Sector 94, 75.6 L
3900,4,Sector 94, 5.26 Cr
2105,3,Sector 94, 2.84 Cr
7520,4,Sector 94, 10.15 Cr
5400,4,Sector 94, 7.29 Cr
7490,4,Sector 94, 10.11 Cr
9950,4,Sector 94, 13.43 Cr
3120,3,Sector 94, 4.21 Cr
1355,3,Sector 79, 79.9 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
1181,3,Sector 152, 1.13 Cr
1185,3,Sector 152, 1.13 Cr
815,2,Sector 152, 83.48 L
3200,4,Sector 152, 2.15 Cr
2350,3,Sector 152, 1.6 Cr
1850,3,Sector 152, 1.27 Cr
1100,2,other, 30 L
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
3027,4,Sector 150, 2.39 Cr
3027,4,Sector 150, 2.39 Cr
2062,3,Sector 150, 1.63 Cr
2062,3,Sector 150, 1.63 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
1200,3,Sector 121, 31.99 L
3998,4,Sector 128, 4.25 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
1404,3,Sector 150, 76.55 L
1137,2,Sector 150, 62 L
1404,3,Sector 150, 76.55 L
1137,2,Sector 150, 62 L
1155,2,Sector 150, 63 L
3200,4,Sector 150, 1.76 Cr
2000,3,Sector 150, 1.1 Cr
2300,3,Sector 150, 1.26 Cr
1625,3,Sector 150, 89.37 L
1010,2,other, 37.5 L
950,2,Sector 74, 52 L
1404,3,Sector 150, 78.62 L
1000,2,Sector 78, 54 L
495,1,Sector 137, 25 L
1234,2,Sector 143, 49 L
1202,2,Sector 137, 55 L
1202,2,Sector 137, 54 L
1685,3,Sector 137, 80 L
1685,3,Sector 137, 80 L
1758,3,Sector 137, 85 L
1131,2,Sector 137, 52 L
968,2,Sector 137, 45 L
968,2,Sector 137, 45 L
1968,4,Sector 137, 95 L
1131,2,Sector 137, 50 L
1202,2,Sector 137, 53 L
1968,4,Sector 137, 95 L
1236,3,Sector 143, 48 L
1040,2,Sector 143, 41 L
1202,2,Sector 137, 54 L
1234,2,Sector 143, 49 L
1236,3,Sector 143, 48 L
1236,3,Sector 143, 48 L
990,2,Sector 137, 45 L
1234,2,Sector 143, 49 L
990,2,Sector 137, 45 L
950,2,Sector 134, 34 L
3195,3,Sector 108, 2.18 Cr
1355,2,Sector 128, 56 L
1820,2,Sector 128, 95 L
2181,3,Sector 93A, 1.05 Cr
2350,3,Sector 93A, 1.25 Cr
1655,3,Sector 93A, 92 L
1920,3,Sector 93A, 1.3 Cr
2600,4,Sector 93A, 1.4 Cr
565,1,Sector 43, 16.75 L
570,1,Sector 43, 17 L
585,1,Sector 45, 16.9 L
1380,2,Sector 94, 1.52 Cr
2626,3,Sector 128, 1.62 Cr
1110,2,Sector 93, 62 L
1250,3,Sector 82, 68 L
950,2,Sector 82, 55 L
2350,3,Sector 93A, 1.25 Cr
1150,3,Sector 121, 29.99 L
1150,3,Sector 121, 29.95 L
950,2,Sector 121, 24.95 L
925,2,Sector 121, 23.99 L
1150,3,Sector 121, 29.95 L
2050,4,Sector 150, 1.74 Cr
1430,3,Sector 150, 1.24 Cr
2440,3,Sector 150, 2.4 Cr
1248,3,Sector 43, 3.34 Cr
1345,3,Sector 43, 3.71 Cr
1249,3,Sector 43, 3.35 Cr
2330,3,Sector 150, 2.15 Cr
2330,3,Sector 150, 2.12 Cr
2698,4,Sector 150, 2.51 Cr
2698,4,Sector 150, 2.47 Cr
2698,4,Sector 150, 2.49 Cr
2330,3,Sector 150, 2.17 Cr
3027,4,Sector 150, 2.77 Cr
3027,4,Sector 150, 2.75 Cr
3198,4,Sector 150, 2.95 Cr
1305,2,Sector 150, 1.15 Cr
2440,3,Sector 150, 2.75 Cr
3165,3,Sector 150, 2.3 Cr
1947,3,Sector 150, 2.2 Cr
3963,4,Sector 150, 3.5 Cr
1558,2,Sector 150, 1.37 Cr
1628,2,Sector 150, 1.25 Cr
1405,3,Sector 107, 90 L
1790,3,Sector 93A, 82 L
804,2,Sector 152, 82.35 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
1750,3,Sector 150, 96.25 L
2990,4,Sector 150, 1.58 Cr
2230,3,Sector 150, 1.18 Cr
1980,3,Sector 150, 1.04 Cr
804,2,Sector 152, 82.35 L
1181,3,Sector 152, 1.13 Cr
1185,3,Sector 152, 1.13 Cr
815,2,Sector 152, 83.48 L
1575,3,Sector 150, 95.82 L
1285,3,Sector 150, 79.01 L
1404,3,Sector 150, 78.62 L
1100,2,Sector 150, 67.19 L
1155,2,Sector 150, 63 L
1137,2,Sector 150, 56.85 L
1300,3,Sector 143B, 61.75 L
1900,3,Sector 143B, 90.25 L
1425,3,Sector 143B, 67.68 L
1700,3,Sector 143B, 80.75 L
1600,3,Sector 143B, 76 L
4150,3,other, 4.01 Cr
3710,4,Sector 128, 2.6 Cr
5000,5,Sector 79, 3.25 Cr
2062,3,Sector 150, 1.87 Cr
2062,3,Sector 150, 1.85 Cr
2062,3,Sector 150, 1.83 Cr
1907,3,Sector 150, 1.71 Cr
1907,3,Sector 150, 1.69 Cr
1907,3,Sector 150, 1.7 Cr
1600,3,Sector 93, 98 L
1655,3,Sector 93A, 92 L
5000,5,Sector 150, 4.5 Cr
5000,5,Sector 150, 4.5 Cr
5000,5,Sector 150, 4.5 Cr
5000,5,Sector 150, 4.5 Cr
3027,4,Sector 150, 2.42 Cr
3027,4,Sector 150, 2.42 Cr
2697,4,Sector 150, 2.15 Cr
2697,4,Sector 150, 2.15 Cr
2062,3,Sector 150, 1.46 Cr
2062,3,Sector 150, 1.46 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2700,4,Sector 150, 2.14 Cr
2700,4,Sector 150, 2.14 Cr
3027,4,Sector 150, 2.39 Cr
3027,4,Sector 150, 2.39 Cr
2062,3,Sector 150, 1.63 Cr
2062,3,Sector 150, 1.63 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
934,3,Sector 150, 79.99 L
1151,3,Sector 150, 95.82 L
1465,2,Sector 150, 99.47 L
1945,3,Sector 150, 1.32 Cr
5000,5,Sector 150, 4.5 Cr
1425,2,Sector 150, 96.75 L
1760,3,Sector 150, 1.19 Cr
2230,3,Sector 150, 1.56 Cr
1730,3,Sector 107, 1.1 Cr
2565,3,Sector 50, 2.64 Cr
1045,2,Sector 137, 60 L
1450,2,Sector 128, 77 L
2250,4,Sector 78, 1.9 Cr
2720,4,Sector 79, 1.9 Cr
2031,3,Sector 128, 2.71 Cr
2007,3,Sector 128, 2.68 Cr
2763,4,Sector 128, 3.68 Cr
3501,4,Sector 107, 3.32 Cr
4482,4,Sector 107, 4.25 Cr
6570,5,Sector 107, 6.24 Cr
1675,3,Sector 150, 94.7 L
1615,3,Sector 150, 91.46 L
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
950,2,other, 30.4 L
1150,2,other, 30.4 L
1285,3,Sector 150, 82 L
1155,2,Sector 150, 86 L
1137,2,Sector 150, 85.27 L
1155,2,Sector 150, 86 L
1137,2,Sector 150, 85.27 L
2100,3,Sector 78, 1.15 Cr
3998,3,Sector 128, 4.25 Cr
2950,3,Sector 93A, 2 Cr
4142,3,Sector 93A, 3 Cr
1510,3,Sector 78, 82 L
2650,4,Sector 107, 1.65 Cr
1245,2,Sector 79, 87 L
2275,3,other, 1.27 Cr
934,3,Sector 150, 79.99 L
1151,3,Sector 150, 95.82 L
1511,3,Sector 150, 1.85 Cr
890,2,Sector 150, 1.17 Cr
1322,3,Sector 150, 1.58 Cr
1794,3,Sector 150, 2.03 Cr
849,2,Sector 150, 1.08 Cr
592,1,other, 18 L
6300,5,Sector 75, 6.93 Cr
5300,5,Sector 75, 5.83 Cr
783,3,Sector 150, 90 L
981,3,Sector 150, 1.14 Cr
648,2,Sector 150, 76 L
1775,3,Sector 119, 85 L
3200,4,Sector 150, 2.47 Cr
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
2000,3,Sector 150, 1.57 Cr
2300,3,Sector 150, 1.79 Cr
2300,3,Sector 150, 1.79 Cr
1625,3,Sector 150, 1.29 Cr
1625,3,Sector 150, 1.29 Cr
2050,4,Sector 150, 1.97 Cr
2050,4,Sector 150, 1.97 Cr
1430,3,Sector 150, 1.5 Cr
1430,3,Sector 150, 1.5 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
1750,3,Sector 150, 1.08 Cr
2190,3,Sector 150, 1.42 Cr
3220,4,Sector 150, 2.26 Cr
2460,3,Sector 150, 1.74 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
1675,3,Sector 150, 1.06 Cr
1675,3,Sector 150, 1.06 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
981,3,Sector 150, 1.28 Cr
981,3,Sector 150, 1.28 Cr
648,2,Sector 150, 93.16 L
648,2,Sector 150, 93.16 L
771,2,Sector 150, 79 L
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
1202,3,Sector 150, 1.18 Cr
1465,2,Sector 150, 1.03 Cr
1465,2,Sector 150, 1.03 Cr
1425,2,Sector 150, 1.01 Cr
1465,2,Sector 150, 1.03 Cr
1945,3,Sector 150, 1.37 Cr
1425,2,Sector 150, 1.01 Cr
2385,3,Sector 150, 1.69 Cr
1945,3,Sector 150, 1.37 Cr
1760,3,Sector 150, 1.24 Cr
2385,3,Sector 150, 1.69 Cr
1760,3,Sector 150, 1.24 Cr
1404,3,Sector 150, 1.05 Cr
1404,3,Sector 150, 1.05 Cr
1779,3,Sector 100, 1.3 Cr
1730,3,Sector 107, 1.15 Cr
2345,3,Sector 100, 2.05 Cr
1040,2,other, 41.5 L
1165,2,Sector 150, 75 L
1100,2,Sector 150, 67.19 L
1900,3,Sector 143B, 1.03 Cr
1900,3,Sector 143B, 1.03 Cr
1425,3,Sector 143B, 77.66 L
1425,3,Sector 143B, 77.66 L
1700,3,Sector 143B, 92.65 L
1700,3,Sector 143B, 92.65 L
1600,3,Sector 143B, 87.2 L
1600,3,Sector 143B, 87.2 L
1300,3,Sector 143B, 70.85 L
1300,3,Sector 143B, 70.85 L
688,2,Sector 144, 75.4 L
1285,3,Sector 150, 94.5 L
2350,2,other, 1.3 Cr
2350,2,other, 1.3 Cr
3780,4,Sector 128, 3.25 Cr
1675,3,Sector 150, 94.7 L
1675,3,Sector 150, 94.7 L
1675,3,Sector 150, 94.7 L
1675,3,Sector 150, 94.7 L
1615,3,Sector 150, 91.46 L
1615,3,Sector 150, 91.46 L
6800,5,Sector 107, 6.9 Cr
720,2,other, 33.69 L
900,2,other, 42 L
540,1,other, 25.2 L
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
1040,2,other, 44.1 L
1440,2,other, 45 L
1154,2,Sector 120, 40 L
1404,3,Sector 150, 91.96 L
1155,2,Sector 150, 75.65 L
1137,2,Sector 150, 74.47 L
925,2,Sector 121, 24.99 L
950,2,Sector 121, 24.95 L
1150,3,Sector 121, 29.95 L
950,2,Sector 121, 24.95 L
1150,3,Sector 121, 29.95 L
950,2,Sector 121, 24.95 L
925,2,Sector 121, 23.95 L
1150,3,Sector 121, 29.95 L
925,2,Sector 121, 23.95 L
1150,3,Sector 121, 29.95 L
925,2,Sector 121, 23.95 L
1200,3,Sector 121, 29.9 L
3000,3,Sector 128, 2.91 Cr
4700,4,Sector 144, 4.2 Cr
5000,5,Sector 150, 3.45 Cr
3000,3,Sector 128, 2.55 Cr
2460,3,Sector 150, 1.7 Cr
2230,3,Sector 150, 1.11 Cr
2230,3,Sector 150, 1.09 Cr
2990,4,Sector 150, 1.5 Cr
1404,3,Sector 150, 79.5 L
1980,3,Sector 150, 1 Cr
2555,3,Sector 150, 1.28 Cr
2040,3,Sector 150, 1.18 Cr
2230,3,Sector 150, 1.07 Cr
1137,2,Sector 150, 61 L
3355,4,Sector 150, 1.68 Cr
3200,4,Sector 150, 1.71 Cr
2000,3,Sector 150, 1.07 Cr
2300,3,Sector 150, 1.23 Cr
1245,2,Sector 79, 72.75 L
2440,3,Sector 150, 1.81 Cr
2190,3,Sector 150, 1.48 Cr
1625,3,Sector 150, 86.93 L
1750,3,Sector 150, 89.23 L
2190,3,Sector 150, 1.11 Cr
1395,3,Sector 150, 71.13 L
3300,4,Sector 75, 3.63 Cr
3030,4,Sector 75, 3.33 Cr
3300,4,Sector 75, 3.63 Cr
2510,3,Sector 75, 2.76 Cr
3030,4,Sector 75, 3.33 Cr
2510,3,Sector 75, 2.76 Cr
4874,4,Sector 108, 4.14 Cr
3302,3,Sector 108, 2.8 Cr
3312,3,Sector 108, 2.81 Cr
3996,4,Sector 108, 3.39 Cr
3195,3,Sector 108, 2.3 Cr
4850,4,Sector 108, 3.41 Cr
1775,3,Sector 152, 1.23 Cr
1350,2,Sector 152, 89.5 L
4000,4,Sector 108, 3 Cr
1753,4,Sector 43, 4.06 Cr
1753,4,Sector 43, 4.06 Cr
1345,3,Sector 43, 3.72 Cr
1265,2,Sector 150, 1.01 Cr
1246,2,Sector 119, 62 L
4644,4,Sector 107, 2.78 Cr
1295,2,Sector 43, 1.25 Cr
3940,4,Sector 108, 2.9 Cr
3940,4,Sector 108, 3 Cr
804,2,Sector 152, 82.35 L
1181,3,Sector 152, 1.13 Cr
1185,3,Sector 152, 1.13 Cr
815,2,Sector 152, 83.48 L
2440,3,Sector 150, 2.75 Cr
2440,3,Sector 150, 2.75 Cr
2440,3,Sector 150, 2.75 Cr
2440,3,Sector 150, 2.75 Cr
2251,4,Sector 150, 2.27 Cr
525,2,other, 15.78 L
434,1,other, 12.68 L
1025,2,Sector 144, 73 L
1404,3,Sector 150, 76.55 L
1155,2,Sector 150, 63 L
1137,2,Sector 150, 62 L
1160,2,Sector 144, 83 L
1200,2,other, 28.99 L
1409,3,Sector 78, 65 L
1340,3,Sector 143, 70 L
2088,3,Sector 43, 2.39 Cr
2350,4,Sector 93A, 1.4 Cr
950,2,Sector 134, 39 L
1670,3,Sector 134, 70 L
950,2,Sector 134, 35 L
4070,5,Sector 78, 2.8 Cr
3284,4,Sector 50, 3.28 Cr
1575,3,Sector 50, 1.2 Cr
1295,3,other, 82 L
1350,3,other, 32.5 L
2650,4,Sector 107, 2 Cr
2500,4,Sector 134, 1.1 Cr
990,3,other, 46.03 L
460,1,other, 21.39 L
766,2,other, 35.61 L
6300,5,Sector 75, 7.24 Cr
3300,4,Sector 75, 3.79 Cr
3030,4,Sector 75, 3.48 Cr
2510,3,Sector 75, 2.88 Cr
5300,5,Sector 75, 6.09 Cr
951,3,other, 44.22 L
950,2,Sector 134, 45 L
1450,2,other, 1.25 Cr
2450,3,Sector 50, 1.4 Cr
995,2,other, 46 L
1090,1,Sector 121, 68.99 L
2715,5,Sector 79, 2.15 Cr
5000,5,Sector 79, 3.25 Cr
3631,4,Sector 107, 5.91 Cr
1865,3,Sector 107, 2.62 Cr
1404,3,Sector 150, 91.96 L
1155,2,Sector 150, 75.65 L
1137,2,Sector 150, 74.47 L
783,3,Sector 150, 90 L
981,3,Sector 150, 1.14 Cr
648,2,Sector 150, 76 L
3400,4,other, 2.6 Cr
1600,3,other, 2.1 Cr
1340,3,Sector 143, 70 L
650,1,Sector 44, 15 L
10000,10,other, 13 Cr
1585,3,other, 1.51 Cr
3400,4,other, 2.5 Cr
4425,4,Sector 78, 3.25 Cr
1082,2,Sector 74, 55 L
1050,2,Sector 49, 35 L
1246,2,Sector 119, 62 L
950,2,Sector 49, 33 L
1385,3,Sector 77, 86 L
1050,2,Sector 49, 38 L
2200,4,Sector 41, 3.1 Cr
1400,3,Sector 49, 50 L
1090,2,Sector 76, 58 L
1000,2,Sector 49, 35 L
3223,4,other, 6.15 Cr
900,2,Sector 49, 30 L
950,2,Sector 49, 33 L
850,2,Sector 49, 28 L
1050,2,Sector 49, 45 L
1450,2,Sector 49, 45 L
3184,4,Sector 50, 3.4 Cr
615,1,Sector 75, 45 L
1505,3,Sector 74, 85 L
10000,10,other, 5.25 Cr
5800,4,Sector 107, 3.72 Cr
4900,8,other, 14 Cr
6000,6,Sector 44, 4.5 Cr
3200,2,Sector 45, 2.4 Cr
2400,5,other, 1.7 Cr
1150,2,Sector 74, 60 L
1424,3,Sector 45, 85 L
1495,3,Sector 75, 1.05 Cr
2050,3,Sector 75, 1.4 Cr
1820,3,Sector 75, 1.12 Cr
1765,3,Sector 75, 1.1 Cr
990,2,Sector 75, 58 L
1495,3,Sector 75, 1.1 Cr
1495,3,Sector 75, 1.1 Cr
1295,2,Sector 75, 85 L
1732,3,Sector 75, 1.2 Cr
1500,3,Sector 75, 1 Cr
1495,3,Sector 75, 90 L
930,2,Sector 74, 50 L
2500,3,Sector 78, 2.4 Cr
2575,4,Sector 79, 2.15 Cr
2890,4,Sector 79, 2.35 Cr
3430,4,Sector 78, 3.3 Cr
1880,3,Sector 79, 1.56 Cr
1535,3,Sector 76, 85 L
2250,3,Sector 50, 2.6 Cr
10000,10,other, 5.65 Cr
2500,6,other, 2.5 Cr
2080,3,other, 2 Cr
950,2,other, 40 L
7352,5,Sector 94, 7.95 Cr
1285,3,Sector 150, 1 Cr
3998,4,Sector 128, 4.25 Cr
4874,4,Sector 108, 4.14 Cr
3302,3,Sector 108, 2.8 Cr
3312,3,Sector 108, 2.81 Cr
3996,4,Sector 108, 3.39 Cr
1085,2,Sector 119, 55 L
2100,4,Sector 49, 75 L
4843,6,other, 6 Cr
3998,4,Sector 128, 4.25 Cr
1370,2,Sector 77, 95 L
1545,3,Sector 76, 70 L
1180,2,Sector 76, 60 L
1315,3,Sector 76, 72 L
1035,2,Sector 76, 55 L
1015,2,Sector 76, 52 L
875,2,Sector 76, 44 L
1320,3,Sector 78, 88 L
1472,3,Sector 76, 95 L
1147,2,Sector 76, 68 L
1110,2,Sector 76, 65 L
1625,3,Sector 77, 1.2 Cr
1075,2,Sector 78, 58 L
600,1,Sector 44, 22 L
1250,3,Sector 82, 76 L
10500,7,other, 9.5 Cr
750,2,Sector 44, 25 L
1625,3,Sector 74, 90 L
2175,3,Sector 75, 1.8 Cr
1620,3,Sector 79, 1.32 Cr
4720,4,Sector 79, 4 Cr
1730,3,Sector 79, 1.55 Cr
1085,2,Sector 74, 52 L
3070,3,Sector 78, 3.1 Cr
3430,4,Sector 78, 3.5 Cr
2500,3,Sector 78, 2.65 Cr
2050,3,Sector 75, 1.4 Cr
2715,5,Sector 79, 2.2 Cr
1370,2,Sector 75, 1.05 Cr
1310,2,Sector 75, 85 L
1495,3,Sector 75, 1.05 Cr
1945,3,Sector 74, 1.55 Cr
1380,2,Sector 79, 94 L
4100,5,Sector 78, 3.8 Cr
1495,3,Sector 75, 1.08 Cr
1385,3,Sector 77, 90 L
2250,4,Sector 78, 2 Cr
1525,3,Sector 75, 1.18 Cr
1260,2,Sector 75, 95 L
1455,3,Sector 75, 95 L
1600,3,Sector 75, 1.08 Cr
1765,3,Sector 75, 1.15 Cr
1835,3,Sector 76, 1.05 Cr
2385,3,Sector 150, 1.75 Cr
2750,4,Sector 50, 2.8 Cr
1455,3,Sector 75, 92 L
1500,3,Sector 75, 1 Cr
2250,4,Sector 75, 1.8 Cr
940,2,Sector 75, 60 L
1760,3,Sector 75, 1.15 Cr
2050,3,Sector 75, 1.5 Cr
1550,3,Sector 75, 1.25 Cr
1380,2,Sector 79, 1.1 Cr
1730,3,Sector 79, 1.5 Cr
1245,2,Sector 79, 90 L
1850,3,Sector 79, 1.5 Cr
4425,4,Sector 78, 4.3 Cr
3070,3,Sector 78, 3 Cr
4500,4,other, 4.25 Cr
500,1,Sector 137, 23 L
1500,3,Sector 49, 50 L
1500,3,Sector 49, 50 L
950,2,Sector 44, 30.5 L
4600,4,Sector 104, 6 Cr
1739,3,Sector 119, 1 Cr
600,1,Sector 44, 20 L
650,1,Sector 82, 19 L
650,1,Sector 108, 18 L
2500,5,Sector 49, 80 L
1100,2,other, 28 L
1000,2,other, 40 L
900,2,other, 27 L
1000,2,other, 28 L
1100,2,other, 25 L
750,1,Sector 73, 21 L
590,1,Sector 143B, 33 L
1050,2,Sector 110, 30 L
3200,8,other, 2.4 Cr
7200,9,other, 6.5 Cr
750,1,Sector 110, 18 L
500,1,Sector 44, 15 L
2764,4,Sector 100, 2 Cr
2090,3,Sector 110, 1.2 Cr
2764,4,Sector 100, 2.25 Cr
2101,3,Sector 150, 34.54 L
2101,3,Sector 150, 38.49 L
2101,3,Sector 150, 39.88 L
2101,3,Sector 150, 45.64 L
1200,2,other, 40 L
1210,3,other, 55 L
1200,2,other, 49 L
1200,3,Sector 150, 50.01 L
1208,3,Sector 150, 50.01 L
1500,3,Sector 150, 33.8 L
1240,3,Sector 150, 50.05 L
1260,3,Sector 150, 51 L
2764,4,Sector 100, 1.8 Cr
3284,4,Sector 50, 3.5 Cr
700,1,Sector 110, 18 L
1000,2,Sector 105, 31 L
1010,2,other, 33 L
700,1,Sector 105, 18 L
700,1,Sector 50, 20 L
6500,7,Sector 41, 4.5 Cr
3000,2,Sector 45, 3.15 Cr
1050,2,other, 32 L
3115,4,Sector 104, 3.5 Cr
650,1,Sector 41, 18.25 L
4455,4,Sector 121, 4.4 Cr
4000,5,Sector 41, 2.99 Cr
950,2,other, 28.98 L
1211,3,Sector 150, 49 L
1246,2,Sector 119, 65 L
1695,3,Sector 143, 1.5 Cr
1595,3,Sector 137, 1.05 Cr
1864,3,Sector 45, 1.4 Cr
1500,4,other, 1.65 Cr
1800,4,other, 1.7 Cr
1500,3,other, 40 L
950,2,Sector 82, 56 L
2389,3,Sector 50, 1.86 Cr
4000,6,Sector 15A, 7.1 Cr
950,2,Sector 82, 57 L
2500,3,Sector 15A, 5.85 Cr
11000,9,other, 10.5 Cr
1100,2,other, 29 L
1100,2,Sector 105, 29.5 L
1000,2,Sector 105, 29 L
3756,5,Sector 43, 4.69 Cr
700,1,Sector 105, 19.5 L
700,1,Sector 110, 18.5 L
1100,2,other, 28 L
1500,3,other, 40 L
600,1,other, 17 L
700,1,other, 17.5 L
1250,2,Sector 78, 90 L
650,1,other, 17 L
2500,3,Sector 78, 2.1 Cr
1000,2,other, 25 L
1800,4,other, 50 L
900,2,Sector 121, 28 L
700,1,Sector 110, 17 L
1500,3,Sector 41, 45 L
650,1,Sector 44, 21 L
2800,6,Sector 49, 90 L
2000,4,Sector 49, 70 L
2600,5,Sector 49, 80 L
472,1,Sector 120, 24 L
1080,2,Sector 74, 55 L
1505,3,Sector 74, 82 L
1800,3,Sector 74, 1.3 Cr
700,1,Sector 110, 18 L
1000,2,Sector 82, 31.5 L
950,2,Sector 82, 58 L
1495,3,Sector 75, 1.15 Cr
700,1,Sector 105, 18 L
1050,2,Sector 107, 30 L
700,1,Sector 107, 18 L
2100,4,Sector 49, 69.5 L
2435,4,Sector 100, 2.02 Cr
1650,3,Sector 76, 1.15 Cr
4200,7,other, 4.75 Cr
1525,3,Sector 75, 1.16 Cr
950,2,Sector 82, 28.5 L
2000,3,Sector 15A, 7.5 Cr
2250,6,other, 4.25 Cr
2100,3,Sector 15A, 2.85 Cr
2650,6,other, 4.5 Cr
4000,8,Sector 41, 5.5 Cr
950,2,other, 29.99 L
2105,3,Sector 94, 1.92 Cr
2111,3,Sector 110, 1.2 Cr
1501,4,Sector 150, 65 L
1211,3,Sector 150, 49 L
1207,3,Sector 150, 49 L
1200,2,Sector 150, 49 L
1100,3,Sector 150, 35 L
1100,3,Sector 150, 36 L
1150,3,Sector 150, 37 L
1100,3,Sector 150, 36 L
1250,3,Sector 150, 38 L
1501,4,Sector 150, 65 L
1500,4,Sector 150, 65 L
1200,3,Sector 150, 55 L
1500,4,other, 65 L
1512,4,other, 65 L
1505,4,Sector 150, 65 L
1500,3,Sector 150, 45 L
1236,3,Sector 150, 53 L
